Country_x,Happiness score,Whisker-high,Whisker-low,Dystopia (1.88) + residual,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,ISO3,Competetiveness Rank / 141,Country / Economy,Value(0–100),Country or Territory,Freedom Status,PR,CL,Freedom Rating,Aggregate Score,GDP Rank,Country_y,2017,2018,t2w,Absolute change,Rank change,Continent,Economy,Business Rank,Starting a Business,Dealing with Construction Permits,Getting Electricity,Registering Property,Getting Credit,Protecting Minority Investors,Paying Taxes,Trading across Borders,Enforcing Contracts,Resolving Insolvency,Country_x,LawRank,GovernmentPowers,Absenceof Corruption,OpenGovernment,FundamentalRights,Orderand Security,RegulatoryEnforcement,CivilJustice,CriminalJustice,OverallScore,ScienceRank,Country_y,Documents,Citable documents,Citations,Self-citations,Citations per document,H index,CountryName,CapitalName,CapitalLatitude,CapitalLongitude,CountryCode,ContinentName,HDI Rank (2017),Country,Freedom Rank
Honduras,5.86040019989014,5.98660612106323,5.73419427871704,2.32254457473755,0.642393231391907,1.23616206645966,0.828115463256836,0.507142663002014,0.245679348707199,0.0783285722136498,HND,101,Honduras,52.6,Honduras,,4,4,4.0,46,139,Honduras,"5,573.3","5,817.2",0.321,243.9,+1,North America,Honduras,121,154,116,153,95,12,140,164,123,152,143,Honduras,115/126,0.37,0.34,0.42,0.41,0.6,0.4,0.41,0.26,0.4,144,Honduras,185,157,98,9,0.53,61,Honduras,Tegucigalpa,14.1,-87.216667,HN,Central America,133,Honduras,32.0
Kazakhstan,5.8088002204895,5.89046907424927,5.72713136672974,1.74634647369385,1.17347300052643,1.50771510601044,0.729368388652802,0.409854620695114,0.145751222968102,0.0963137149810791,KAZ,55,Kazakhstan,62.9,Kazakhstan,,7,5,6.0,22,59,Kazakhstan,"26,305.6","27,494.8",1.52,"1,189.2",-1,Asia,Kazakhstan,28,36,35,76,18,60,1,56,102,4,37,Kazakhstan,65/126,0.43,0.47,0.47,0.46,0.78,0.51,0.59,0.44,0.52,65,Kazakhstan,3819,3606,1917,399,0.5,95,Kazakhstan,Astana,51.16666666666666,71.416667,KZ,Asia,58,Kazakhstan,12.0
Bolivia,5.77930021286011,5.87589979171753,5.68270063400269,2.37558603286743,0.775684595108032,1.20919370651245,0.706299722194672,0.511490106582642,0.136560887098312,0.0644494071602821,BOL,107,Bolivia,51.8,Bolivia,,3,3,3.0,67,126,Bolivia,"7,562.7","7,943.9",0.438,381.3,-1,South America,Bolivia,156,178,160,111,148,134,149,186,96,113,102,Bolivia,119/126,0.36,0.26,0.42,0.47,0.59,0.4,0.35,0.21,0.38,129,Bolivia,369,328,283,40,0.77,119,Bolivia,La Paz,-16.5,-68.15,BO,South America,118,Bolivia,62.0
Hungary,5.75829982757568,5.85319423675537,5.663405418396,2.01962661743164,1.20108902454376,1.40971052646637,0.828123986721039,0.199402585625649,0.0806054994463921,0.0197692513465881,HUN,47,Hungary,65.1,Hungary,,3,3,3.0,70,50,Hungary,"29,558.7","31,560.7",1.74,"2,002.0",0,Europe,Hungary,53,82,110,122,30,32,110,86,1,22,65,Hungary,57/126,0.41,0.51,0.46,0.58,0.91,0.47,0.46,0.48,0.53,48,Hungary,11772,10582,10347,2110,0.88,419,Hungary,Budapest,47.5,19.083333,HU,Europe,45,Hungary,65.0
Peru,5.6971001625061,5.81140804290772,5.58279228210449,2.04378294944763,0.959802091121674,1.27369165420532,0.854449510574341,0.454530954360962,0.0834203436970711,0.0273859202861786,PER,65,Peru,61.7,Peru,,2,3,2.5,73,93,Peru,"13,521.4","14,252.4",0.787,731.0,+1,South America,Peru,68,125,54,67,45,32,51,120,110,70,88,Peru,70/126,0.61,0.33,0.55,0.63,0.64,0.5,0.46,0.33,0.51,70,Peru,3385,2953,1852,412,0.55,212,Peru,Lima,-12.05,-77.05,PE,South America,89,Peru,68.0
Portugal,5.69250011444092,5.79217004776001,5.59283018112183,1.46172332763672,1.22072994709015,1.43080341815949,0.999308705329895,0.508114755153656,0.0468167588114738,0.0249647423624992,PRT,34,Portugal,70.4,Portugal,,1,1,1.0,96,48,Portugal,"30,487.3","32,023.4",1.77,"1,536.2",0,Europe,Portugal,34,57,60,32,36,112,64,39,1,35,16,Portugal,22/126,0.79,0.72,0.67,0.79,0.79,0.64,0.69,0.6,0.71,27,Portugal,26611,23023,21239,4794,0.8,457,Portugal,Lisbon,38.71666666666667,-9.133333,PT,Europe,41,Portugal,101.0
Pakistan,5.65299987792969,5.73192262649536,5.57407712936401,2.9236307144165,0.676521182060242,0.886272490024567,0.535022735595703,0.313266664743423,0.220373973250389,0.0979036465287209,PAK,110,Pakistan,51.4,Pakistan,,5,5,5.0,39,140,Pakistan,"5,377.6","5,714.0",0.315,336.4,+1,Asia,Pakistan,136,130,166,167,161,112,26,173,142,156,53,Pakistan,117/126,0.52,0.32,0.45,0.38,0.36,0.38,0.38,0.35,0.39,38,Pakistan,20548,18885,13842,5326,0.67,247,Pakistan,Islamabad,33.68333333333333,73.05,PK,Asia,150,Pakistan,26.0
Pakistan,5.65299987792969,5.73192262649536,5.57407712936401,2.9236307144165,0.676521182060242,0.886272490024567,0.535022735595703,0.313266664743423,0.220373973250389,0.0979036465287209,PAK,110,Pakistan,51.4,Pakistani Kashmir *,,6,5,5.5,28,140,Pakistan,"5,377.6","5,714.0",0.315,336.4,+1,Asia,Pakistan,136,130,166,167,161,112,26,173,142,156,53,Pakistan,117/126,0.52,0.32,0.45,0.38,0.36,0.38,0.38,0.35,0.39,38,Pakistan,20548,18885,13842,5326,0.67,247,Pakistan,Islamabad,33.68333333333333,73.05,PK,Asia,150,Pakistan,15.0
Russia,5.64790010452271,5.71258211135864,5.58321809768677,1.83916020393372,1.18310880661011,1.45237040519714,0.726103067398071,0.334281355142593,0.0820480585098267,0.0308597218245268,RUS,43,Russia,66.7,Russia,,7,6,6.5,20,56,Russia,"27,892.5","29,032.0",1.60,"1,139.5",-2,Europe,Russia,31,32,48,12,12,22,57,53,99,18,55,Russia,88/126,0.37,0.45,0.49,0.45,0.66,0.49,0.52,0.34,0.47,11,Russia,99099,95359,34723,17562,0.35,540,Russia,Moscow,55.75,37.6,RU,Europe,49,Russian Federation,10.0
Philippines,5.6314001083374,5.74381399154663,5.51898622512817,2.09213614463806,0.807362616062164,1.29256892204285,0.656877875328064,0.558183670043945,0.117282196879387,0.107008181512356,PHL,64,Philippines,61.9,Philippines,,3,3,3.0,61,120,Philippines,"8,360.4","8,933.3",0.493,573.0,0,Asia,Philippines,124,166,94,29,116,184,132,94,104,151,63,Philippines,90/126,0.53,0.47,0.53,0.42,0.57,0.47,0.44,0.31,0.47,67,Philippines,3775,3398,2205,375,0.58,224,Philippines,Manila,14.6,120.96666699999999,PH,Asia,113,Philippines,52.0
Serbia,5.60300016403198,5.70529890060425,5.50070142745972,1.90416479110718,1.00381052494049,1.38296008110046,0.854364573955536,0.282373487949371,0.136767998337746,0.0385996252298355,SRB,72,Serbia,60.9,Serbia,,3,3,3.0,67,85,Serbia,"15,059.8","16,089.8",0.888,"1,030.0",+2,Europe,Serbia,48,40,11,104,55,60,83,79,23,65,49,Serbia,78/126,0.4,0.44,0.47,0.56,0.78,0.47,0.5,0.38,0.5,54,Serbia,7797,7069,5525,1093,0.71,220,Serbia,Belgrade,44.83333333333334,20.5,RS,Europe,67,Serbia,62.0
Moldova,5.52850008010864,5.60443162918091,5.45256853103638,2.35000920295715,0.685384273529053,1.32799196243286,0.739263892173767,0.245268017053604,0.180546551942825,0.0,MDA,86,Moldova,56.7,Moldova,,3,4,3.5,58,131,Moldova,"6,686.8","7,103.8",0.392,417.0,+2,Europe,Moldova,47,14,172,81,22,44,33,35,35,69,68,Moldova,83/126,0.43,0.32,0.55,0.54,0.8,0.42,0.47,0.34,0.49,117,Moldova,489,419,249,39,0.51,106,Moldova,Chisinau,47.0,28.85,MD,Europe,112,Moldova (Republic of),46.0
Croatia,5.43179988861084,5.50987768173218,5.3537220954895,1.65990853309631,1.15468215942383,1.26578235626221,0.913788199424744,0.296157687902451,0.119423843920231,0.022072920575738,HRV,63,Croatia,61.9,Croatia,,1,2,1.5,85,61,Croatia,"24,748.6","26,215.9",1.45,"1,467.4",0,Europe,Croatia,58,123,159,61,51,85,38,89,1,25,59,Croatia,42/126,0.58,0.57,0.61,0.65,0.82,0.55,0.58,0.51,0.61,57,Croatia,7170,6529,5107,1086,0.71,259,Croatia,Zagreb,45.8,16.0,HR,Europe,46,Croatia,84.0
Hong Kong S.A.R. of China,5.43039989471436,5.52332305908203,5.33747673034668,0.609068870544434,1.43799924850464,1.27659273147583,1.12213981151581,0.439627707004547,0.257670521736145,0.287329524755478,HKG,3,Hong Kong SAR,83.1,Hong Kong SAR,,5,2,3.5,59,11,Hong Kong SAR,"61,520.1","64,794.2",3.58,"3,274.1",0,Asia,Hong Kong SAR,4,5,1,3,53,32,11,1,27,30,44,"Hong Kong SAR, China",16/126,0.65,0.84,0.75,0.66,0.93,0.82,0.77,0.71,0.77,36,Hong Kong SAR,21849,19571,21733,4304,0.99,517,Hong Kong SAR,,0.0,0.0,HK,Asia,7,"Hong Kong, China (SAR)",48.0
Dominican Republic,5.42530012130737,5.55933141708374,5.29126882553101,1.51851558685303,1.01542258262634,1.40147638320923,0.778674066066742,0.496892958879471,0.112933203577995,0.101404041051865,DOM,78,Dominican Republic,58.3,Dominican Republic,,3,3,3.0,67,78,Dominican Republic,"16,996.9","18,323.5",1.01,"1,326.6",+2,North America,Dominican Republic,102,117,80,116,77,112,83,148,63,149,124,Dominican Republic,95/126,0.45,0.39,0.51,0.56,0.63,0.39,0.43,0.34,0.46,143,Dominican Republic,186,169,74,4,0.4,65,Dominican Republic,Santo Domingo,18.466666666666665,-69.9,DO,North America,94,Dominican Republic,62.0
Bosnia and Herzegovina,5.38649988174439,5.47727584838867,5.2957239151001,1.90457439422607,0.945077538490295,1.21160626411438,0.844562232494354,0.212316319346428,0.262889266014099,0.00552299758419395,BIH,92,Bosnia and Herzegovina,54.7,Bosnia and Herzegovina,,4,4,4.0,53,96,Bosnia and Herzegovina,"12,784.2","13,513.0",0.746,728.9,+2,Europe,Bosnia and Herzegovina,89,183,167,130,99,60,72,139,37,75,37,Bosnia and Herzegovina,60/126,0.45,0.44,0.47,0.59,0.76,0.49,0.51,0.5,0.53,91,Bosnia and Herzegovina,1399,1203,1113,120,0.8,91,Bosnia and Herzegovina,Sarajevo,43.86666666666667,18.416667,BA,Europe,77,Bosnia and Herzegovina,41.0
Turkey,5.37260007858276,5.46552753448486,5.27967262268066,1.63594055175781,1.18348515033722,1.36042511463165,0.808362007141113,0.194861009716988,0.0834492966532707,0.106051288545132,TUR,61,Turkey,62.1,Turkey,,5,6,5.5,31,57,Turkey,"27,049.0","28,270.2",1.56,"1,221.2",0,Europe,Turkey,43,78,59,60,39,32,26,80,42,19,109,Turkey,109/126,0.29,0.48,0.42,0.32,0.63,0.42,0.45,0.38,0.42,19,Turkey,45582,39847,21886,6299,0.48,402,Turkey,Ankara,39.93333333333333,32.866667,TR,Europe,64,Turkey,18.0
Malaysia,5.33879995346069,5.46123218536377,5.21636772155762,1.32640647888184,1.22058951854706,1.17120015621185,0.828095078468323,0.508167326450348,0.260062843561172,0.0242963209748268,MYS,27,Malaysia,74.6,Malaysia,,4,4,4.0,52,51,Malaysia,"29,144.3","30,815.3",1.70,"1,671.0",0,Asia,Malaysia,15,122,3,4,29,32,2,72,48,33,41,Malaysia,51/126,0.54,0.58,0.38,0.48,0.77,0.53,0.6,0.54,0.55,23,Malaysia,33295,31102,17348,6338,0.52,281,Malaysia,Kuala Lumpur,3.1666666666666665,101.7,MY,Asia,57,Malaysia,39.0
Greece,5.2866997718811,5.38248777389526,5.19091176986694,1.84836173057556,1.18132901191711,1.15624964237213,0.999310970306397,0.0670726671814919,0.0,0.0344243422150612,GRC,59,Greece,62.6,Greece,,1,2,1.5,87,54,Greece,"27,795.9","29,111.5",1.61,"1,315.7",+1,Europe,Greece,72,44,39,79,153,99,51,65,31,132,62,Greece,36/126,0.69,0.57,0.61,0.66,0.72,0.59,0.58,0.51,0.62,39,Greece,19852,16835,17376,3863,0.88,466,Greece,Athens,37.98333333333333,23.733333,GR,Europe,31,Greece,86.0
Mongolia,5.28539991378784,5.36242771148682,5.20837211608887,1.55046010017395,0.947823762893677,1.53063821792603,0.666763842105866,0.316532462835312,0.235220834612846,0.0379663817584515,MNG,102,Mongolia,52.6,Mongolia,,1,2,1.5,85,94,Mongolia,"12,987.3","13,904.3",0.767,917.0,+1,Asia,Mongolia,74,87,23,148,49,22,33,61,117,66,152,Mongolia,53/126,0.54,0.44,0.51,0.58,0.77,0.49,0.54,0.5,0.55,115,Mongolia,494,462,277,37,0.56,91,Mongolia,Ulaanbaatar,47.91666666666666,106.91666699999999,MN,Asia,92,Mongolia,84.0
Macedonia,5.27360010147095,5.36476039886475,5.18243980407715,1.59506773948669,0.983121395111084,1.29391884803772,0.837931394577026,0.344850063323975,0.184776112437248,0.0339546911418438,MKD,82,Macedonia,57.3,North Macedonia,,4,3,3.5,59,88,FYR Macedonia,"14,945.9","15,522.6",0.857,576.7,0,Europe,North Macedonia,10,47,13,57,46,12,7,31,29,37,30,"Macedonia, FYR",56/126,0.47,0.47,0.49,0.57,0.79,0.48,0.57,0.47,0.54,96,Macedonia,968,875,1168,91,1.21,108,Macedonia,Skopje,42.0,21.433332999999998,MK,Europe,80,The former Yugoslav Republic of Macedonia,48.0
Nigeria,5.26459980010986,5.38942956924439,5.13977003097534,2.52987670898437,0.696423470973969,1.11104083061218,0.245146557688713,0.426005244255066,0.215326026082039,0.0408243089914322,NGA,116,Nigeria,48.3,Nigeria,,3,5,4.0,50,136,Nigeria,"5,941.3","6,030.4",0.333,89.2,0,Africa,Nigeria,146,120,149,171,184,12,38,157,182,92,149,Nigeria,106/126,0.54,0.34,0.43,0.46,0.35,0.43,0.48,0.43,0.43,49,Nigeria,9299,8346,4539,1695,0.49,181,Nigeria,Abuja,9.083333333333334,7.533333,NG,Africa,157,Nigeria,35.0
Kyrgyzstan,5.26070022583008,5.34793758392334,5.17346286773682,1.71898055076599,0.550570547580719,1.4378741979599,0.722674071788788,0.507759749889374,0.300060302019119,0.0227478705346584,KGZ,96,Kyrgyzstan,54.0,Kyrgyzstan,,5,4,4.5,38,151,Kyrgyzstan,"3,696.6","3,812.2",0.210,115.6,-1,Asia,Kyrgyzstan,70,35,29,164,8,32,38,150,70,131,82,Kyrgyzstan,85/126,0.48,0.31,0.54,0.49,0.75,0.45,0.49,0.31,0.48,132,Kyrgyzstan,314,278,719,37,2.29,67,Kyrgyzstan,Bishkek,42.86666666666667,74.6,KG,Asia,122,Kyrgyzstan,24.0
Algeria,5.21129989624023,5.30355834960938,5.11904144287109,1.99230694770813,1.00151526927948,1.15961825847626,0.785281598567963,0.0855325385928154,0.0726418122649193,0.114427745342255,DZA,89,Algeria,56.3,Algeria,,6,5,5.5,34,87,Algeria,"15,167.1","15,611.2",0.862,444.1,-1,Africa,Algeria,157,150,129,106,165,178,168,156,173,112,76,Algeria,72/126,0.48,0.45,0.41,0.48,0.72,0.52,0.55,0.43,0.51,55,Algeria,7643,6960,4348,1191,0.57,157,Algeria,Algiers,36.75,3.05,DZ,Africa,85,Algeria,21.0
Morocco,5.20809984207153,5.30840539932251,5.10779428482056,2.31398749351501,0.801193356513977,0.782005310058594,0.781668484210968,0.417605668306351,0.0356006994843483,0.0760845541954041,MAR,75,Morocco,60.0,Morocco,,5,5,5.0,39,119,Morocco,"8,568.3","8,956.3",0.494,388.0,0,Africa,Morocco,60,34,18,59,68,112,64,25,62,68,71,Morocco,74/126,0.53,0.44,0.44,0.46,0.69,0.54,0.54,0.38,0.5,58,Morocco,7081,6385,3864,971,0.55,179,Morocco,Rabat,34.016666666666666,-6.816667,MA,Africa,123,Morocco,26.0
Lebanon,5.19729995727539,5.28417491912842,5.11042499542236,1.7621111869812,0.986887097358704,1.22418630123138,0.814914524555206,0.215764999389648,0.166071772575378,0.0273717381060123,LBN,88,Lebanon,56.3,Lebanon,,5,4,4.5,45,72,Lebanon,"19,565.4","20,027.7",1.11,462.2,-2,Asia,Lebanon,142,146,170,124,105,124,140,113,150,135,151,Lebanon,89/126,0.52,0.39,0.44,0.52,0.64,0.44,0.44,0.38,0.47,68,Lebanon,3568,3081,1993,356,0.56,190,Lebanon,Beirut,33.86666666666667,35.5,LB,Asia,80,Lebanon,31.0
Indonesia,5.1923999786377,5.2999267578125,5.08487319946289,1.38175582885742,0.930590987205505,1.20260417461395,0.660217761993408,0.490619003772736,0.498134464025497,0.0284873619675636,IDN,50,Indonesia,64.6,Indonesia,,2,4,3.0,62,101,Indonesia,"12,403.7","13,176.5",0.727,772.7,+1,Asia,Indonesia,73,134,112,33,100,44,51,112,116,146,36,Indonesia,62/126,0.66,0.38,0.54,0.52,0.7,0.55,0.44,0.37,0.52,24,Indonesia,32456,31708,9710,6846,0.3,214,Indonesia,Jakarta,-6.166666666666668,106.816667,ID,Asia,116,Indonesia,53.0
China,5.19089984893799,5.24038887023926,5.14141082763672,1.46567702293396,1.02850985527039,1.12476372718811,0.893324851989746,0.521174490451813,0.0577902123332024,0.0996181294322014,CHN,28,China,73.9,China,,7,6,6.5,11,79,China,"16,695.6","18,120.0",1.000,"1,424.4",+4,Asia,China,46,28,121,14,27,73,64,114,65,6,61,China,82/126,0.33,0.55,0.42,0.32,0.79,0.48,0.54,0.47,0.49,2,China,599386,569227,399135,273126,0.67,794,China,Beijing,39.91666666666666,116.38333300000001,CN,Asia,86,China,1.0
Vietnam,5.17530012130737,5.24728155136108,5.10331869125366,1.47378087043762,0.740777015686035,1.3462165594101,0.851002931594849,0.542799174785614,0.147435277700424,0.0732409730553627,VNM,67,Viet Nam,61.5,Vietnam,,7,5,6.0,20,128,Vietnam,"6,927.8","7,482.1",0.413,554.3,+2,Asia,Vietnam,69,104,21,27,60,32,89,131,100,62,133,Vietnam,81/126,0.45,0.4,0.46,0.46,0.77,0.45,0.45,0.46,0.49,50,Viet Nam,8837,7908,5741,1900,0.65,198,Vietnam,Hanoi,21.03333333333333,105.85,VN,Asia,116,Viet Nam,10.0
Cameroon,5.04370021820068,5.16989994049072,4.91750049591064,2.64946222305298,0.548960030078888,0.910110652446747,0.330502897500992,0.38098070025444,0.186872318387032,0.0367841571569443,CMR,123,Cameroon,46.0,Cameroon,,6,6,6.0,19,150,Cameroon,"3,688.1","3,820.4",0.211,132.3,+1,Africa,Cameroon,166,92,132,129,176,73,140,182,186,166,127,Cameroon,120/126,0.39,0.27,0.34,0.39,0.51,0.41,0.39,0.28,0.37,85,Cameroon,1788,1601,1171,281,0.65,124,Cameroon,Yaounde,3.8666666666666663,11.516667,CM,Africa,151,Cameroon,8.0
Bulgaria,5.01100015640259,5.09769868850708,4.9243016242981,1.19527101516724,1.09151208400726,1.51342511177063,0.814920544624329,0.310784578323364,0.0807363018393517,0.00436103297397494,BGR,49,Bulgaria,64.9,Bulgaria,,2,2,2.0,80,66,Bulgaria,"21,767.6","23,207.3",1.28,"1,439.7",0,Europe,Bulgaria,59,99,37,147,67,60,33,92,21,42,56,Bulgaria,54/126,0.46,0.44,0.54,0.6,0.77,0.54,0.56,0.45,0.54,61,Bulgaria,5312,4944,3886,670,0.73,240,Bulgaria,Sofia,42.68333333333333,23.316667000000002,BG,Europe,51,Bulgaria,75.0
Ghana,4.9963002204895,5.13676261901856,4.85583782196045,2.36668300628662,0.611327767372131,0.867979228496552,0.485640376806259,0.380500346422195,0.244589790701866,0.0395400151610374,GHA,111,Ghana,51.2,Ghana,,1,2,1.5,83,142,Ghana,"4,739.5","5,026.3",0.277,286.8,0,Africa,Ghana,114,108,115,86,123,73,99,115,156,116,160,Ghana,48/126,0.7,0.41,0.51,0.64,0.71,0.55,0.62,0.49,0.58,73,Ghana,3017,2624,1727,389,0.57,142,Ghana,Accra,5.55,-0.216667,GH,Africa,140,Ghana,79.0
Ivory Coast,4.94379997253418,5.07239198684692,4.81520795822144,2.73905730247498,0.569262862205505,0.807506382465363,0.23180216550827,0.351837605237961,0.15391044318676,0.0903808176517487,CIV,118,Côte d'Ivoire,48.1,Côte d'Ivoire,,4,4,4.0,51,147,Côte d'Ivoire,"3,892.4","4,169.8",0.230,277.3,+1,Africa,Côte d'Ivoire,122,26,142,143,112,44,149,175,162,106,80,Cote d'Ivoire,93/126,0.41,0.37,0.37,0.46,0.68,0.52,0.52,0.38,0.46,110,Côte d’Ivoire,565,507,320,61,0.57,111,Cote d'Ivoire,Yamoussoukro,6.816666666666666,-5.266667,CI,Africa,170,Cote d'Ivoire,38.0
Nepal,4.91270017623901,5.03108263015747,4.79431772232056,1.75111222267151,0.44560432434082,1.22556686401367,0.677342176437378,0.439294576644897,0.284695148468018,0.0891281962394714,NPL,108,Nepal,51.6,Nepal,,3,4,3.5,54,162,Nepal,"2,699.5","2,901.7",0.160,202.2,+1,Asia,Nepal,110,107,148,137,88,99,72,158,82,154,83,Nepal,59/126,0.6,0.43,0.52,0.54,0.72,0.5,0.47,0.44,0.53,89,Nepal,1554,1365,1015,217,0.65,129,Nepal,Kathmandu,27.716666666666665,85.31666700000001,NP,Asia,149,Nepal,43.0
Jordan,4.90570020675659,5.01905155181885,4.79234886169434,1.40610098838806,0.837017714977264,1.22463047504425,0.814932107925415,0.383085638284683,0.109859772026539,0.130032584071159,JOR,70,Jordan,60.9,Jordan,,5,5,5.0,37,117,Jordan,"9,172.8","9,406.4",0.519,233.6,-2,Asia,Jordan,104,106,139,62,72,134,125,95,74,108,150,Jordan,49/126,0.49,0.58,0.41,0.49,0.77,0.58,0.63,0.58,0.57,62,Jordan,4505,4122,2604,848,0.58,156,Jordan,Amman,31.95,35.933333000000005,JO,Asia,95,Jordan,23.0
Benin,4.88320016860962,5.02167510986328,4.74472522735596,3.04949831962585,0.393273055553436,0.437461227178574,0.396601945161819,0.349441289901733,0.175394043326378,0.0815335884690285,BEN,125,Benin,45.8,Benin,,2,2,2.0,79,167,Benin,"2,282.1","2,411.4",0.133,129.3,+2,Africa,Benin,153,61,51,176,130,144,149,176,107,171,110,Benin,79/126,0.54,0.38,0.39,0.56,0.78,0.51,0.38,0.44,0.5,111,Benin,543,495,418,76,0.77,89,Benin,Porto-Novo,6.4833333333333325,2.6166669999999996,BJ,Africa,163,Benin,74.0
South Africa,4.7221999168396,4.83756875991821,4.60683107376099,1.36862182617188,0.959680497646332,1.35067617893219,0.469167590141296,0.389366805553436,0.129988983273506,0.0547276213765144,ZAF,60,South Africa,62.4,South Africa,,2,2,2.0,79,95,South Africa,"13,572.9","13,774.5",0.760,201.6,-2,Africa,South Africa,82,134,96,109,106,73,23,46,143,115,66,South Africa,47/126,0.62,0.48,0.62,0.64,0.61,0.55,0.59,0.52,0.58,29,South Africa,25150,21843,17495,5278,0.7,423,South Africa,Pretoria,-25.7,28.216666999999998,ZA,Africa,113,South Africa,74.0
Albania,4.71859979629517,4.8292727470398,4.60792684555054,1.46100187301636,0.94710111618042,0.847680747509003,0.874208450317383,0.383339017629623,0.178158894181252,0.0270839482545853,ALB,81,Albania,57.6,Albania,,3,3,3.0,68,100,Albania,"12,518.9","13,330.2",0.736,811.2,0,Europe,Albania,63,50,151,140,98,44,26,122,24,98,39,Albania,71/126,0.49,0.35,0.46,0.61,0.79,0.44,0.44,0.47,0.51,114,Albania,496,450,259,40,0.52,62,Albania,Tirana,41.31666666666667,19.816667000000002,AL,Europe,68,Albania,63.0
Venezuela,4.70660018920898,4.83454179763794,4.57865858078003,1.24989914894104,0.959502220153809,1.4270738363266,0.80505359172821,0.15359291434288,0.0642107054591179,0.0472840964794159,VEN,133,Venezuela,41.8,Venezuela,,7,6,6.5,19,109,Venezuela,"12,513.6","10,968.5",0.605,"-1,545.2",-8,South America,Venezuela,188,190,152,186,138,124,180,189,187,148,165,Venezuela,126/126,0.18,0.32,0.29,0.33,0.48,0.2,0.28,0.14,0.28,90,Venezuela,1451,1286,777,88,0.54,205,Venezuela,Caracas,10.483333333333333,-66.866667,VE,South America,78,Venezuela (Bolivarian Republic of),8.0
Venezuela,4.70660018920898,4.83454179763794,4.57865858078003,1.24989914894104,0.959502220153809,1.4270738363266,0.80505359172821,0.15359291434288,0.0642107054591179,0.0472840964794159,VEN,133,Venezuela,41.8,Venezuela (Spanish),,7,6,6.5,19,109,Venezuela,"12,513.6","10,968.5",0.605,"-1,545.2",-8,South America,Venezuela,188,190,152,186,138,124,180,189,187,148,165,Venezuela,126/126,0.18,0.32,0.29,0.33,0.48,0.2,0.28,0.14,0.28,90,Venezuela,1451,1286,777,88,0.54,205,Venezuela,Caracas,10.483333333333333,-66.866667,VE,South America,78,Venezuela (Bolivarian Republic of),8.0
Cambodia,4.69980001449585,4.81023406982422,4.58936595916748,1.46450138092041,0.573813378810883,1.12244760990143,0.637100696563721,0.608707249164581,0.231679260730743,0.0615877211093903,KHM,106,Cambodia,52.1,Cambodia,,6,5,5.5,26,145,Cambodia,"4,009.8","4,323.2",0.239,313.4,+1,Asia,Cambodia,138,185,179,141,124,22,110,137,115,182,79,Cambodia,125/126,0.29,0.24,0.27,0.35,0.66,0.29,0.23,0.25,0.32,119,Cambodia,484,428,299,71,0.62,101,Cambodia,Phnom Penh,11.55,104.91666699999999,KH,Asia,146,Cambodia,14.0
Senegal,4.6810998916626,4.76449251174927,4.59770727157593,2.00926423072815,0.449954122304916,1.13423919677734,0.571083545684814,0.291670978069305,0.153075277805328,0.0717843025922775,SEN,114,Senegal,49.7,Senegal,,2,3,2.5,72,155,Senegal,"3,455.7","3,675.9",0.203,220.2,+1,Africa,Senegal,141,64,140,127,118,144,140,171,139,142,94,Senegal,52/126,0.58,0.54,0.44,0.6,0.69,0.55,0.56,0.45,0.55,99,Senegal,861,776,642,77,0.75,120,Senegal,Dakar,14.733333333333333,-17.633333,SN,Africa,164,Senegal,67.0
Namibia,4.63920021057129,4.77717161178589,4.50122880935669,1.44324326515198,0.878536760807037,1.31279563903809,0.477468967437744,0.40089476108551,0.0700635835528374,0.0562214963138104,NAM,94,Namibia,54.5,Namibia,,3,2,2.5,75,107,Namibia,"11,229.2","11,516.2",0.636,287.0,0,Africa,Namibia,107,172,83,71,174,73,99,81,136,58,125,Namibia,34/126,0.68,0.53,0.58,0.66,0.73,0.58,0.66,0.54,0.62,124,Namibia,457,386,413,68,0.9,91,Namibia,Windhoek,-22.566666666666666,17.083333,,Africa,129,Namibia,71.0
Burkina Faso,4.58680009841919,4.69471740722656,4.47888278961182,2.27494978904724,0.330899834632874,1.05591666698456,0.379970908164978,0.25453770160675,0.177320837974548,0.113175384700298,BFA,130,Burkina Faso,43.4,Burkina Faso,,4,3,3.5,60,177,Burkina Faso,"1,868.0","1,995.5",0.110,127.6,0,Africa,Burkina Faso,151,79,58,181,145,144,149,153,120,165,107,Burkina Faso,73/126,0.55,0.44,0.46,0.57,0.62,0.46,0.46,0.47,0.5,106,Burkina Faso,633,566,420,102,0.66,102,Burkina Faso,Ouagadougou,12.366666666666667,-1.516667,BF,Africa,183,Burkina Faso,51.0
Iran,4.5479998588562,4.65936946868897,4.43663024902344,1.12099647521973,1.09996151924133,0.842064023017883,0.785339117050171,0.304888784885406,0.269819438457489,0.124966822564602,IRN,99,Iran,53.0,Iran,,6,6,6.0,18,71,Islamic Republic of Iran,"20,136.4","20,069.1",1.11,-67.3,-3,Asia,"Iran, Islamic Rep.",128,173,86,108,90,99,173,149,121,89,131,Iran,102/126,0.39,0.45,0.29,0.25,0.75,0.48,0.55,0.42,0.45,16,Iran,60268,54915,42636,20215,0.71,292,Iran,Tehran,35.7,51.416667,IR,Asia,60,Iran (Islamic Republic of),4.0
