ScienceRank	Country	Documents	Citable documents	Citations	Self-citations	Citations per document	H index
134	Guatemala	305	265	135	20	0.44	88
135	Laos	296	266	206	47	0.7	80
136	Afghanistan	269	226	134	29	0.5	53
137	Paraguay	261	233	104	15	0.4	82
138	Papua New Guinea	257	228	180	14	0.7	90
139	Grenada	239	208	131	16	0.55	47
140	Togo	206	178	111	12	0.54	50
141	Gabon	196	182	153	30	0.78	100
142	New Caledonia	196	174	218	55	1.11	99
143	Dominican Republic	186	169	74	4	0.4	65
144	Honduras	185	157	98	9	0.53	61
145	Monaco	180	158	191	24	1.06	96
146	Niger	179	155	157	21	0.88	74
147	Democratic Republic Congo	170	155	124	9	0.73	61
148	French Polynesia	164	145	111	25	0.68	82
149	Tajikistan	160	142	54	13	0.34	42
150	Sierra Leone	159	136	155	39	0.97	52
151	Gambia	154	142	174	8	1.13	119
152	Swaziland	147	133	71	13	0.48	60
153	Nicaragua	145	125	116	12	0.8	78
154	Liechtenstein	144	123	207	35	1.44	74
155	El Salvador	136	130	37	4	0.27	60
156	Greenland	132	121	85	13	0.64	67
157	Bhutan	118	100	50	9	0.42	42
158	Angola	116	102	41	8	0.35	45
159	Barbados	113	99	72	4	0.64	82
160	French Guiana	105	97	84	19	0.8	72
161	Haïti	104	91	48	6	0.46	64
162	Saint Kitts and Nevis	102	87	67	12	0.66	32
163	Faroe Islands	102	90	75	15	0.74	59
164	Liberia	100	83	178	17	1.78	37
165	Guinea	99	87	106	5	1.07	60
166	Burundi	83	78	79	9	0.95	42
167	Bahamas	78	64	60	9	0.77	46
168	Central African Republic	71	64	73	3	1.03	51
169	Mauritania	67	61	25	3	0.37	40
170	Suriname	65	55	42	6	0.65	38
171	Guadeloupe	65	49	41	1	0.63	63
172	Guyana	61	56	36	11	0.59	41
173	Guam	60	52	30	5	0.5	65
174	Chad	56	53	31	6	0.55	40
175	Guinea-Bissau	56	49	31	14	0.55	58
176	Reunion	56	49	41	2	0.73	52
177	Solomon Islands	56	50	56	6	1	42
178	Lesotho	52	47	16	1	0.31	36
179	Martinique	50	40	36	0	0.72	48
180	Seychelles	48	43	34	2	0.71	59
181	Eritrea	47	46	20	4	0.43	44
182	Belize	44	30	24	0	0.55	52
183	Samoa	42	34	19	7	0.45	34
184	Timor-Leste	41	39	26	0	0.63	19
185	Bermuda	40	38	54	3	1.35	89
186	San Marino	38	35	583	6	15.34	31
187	Maldives	37	30	16	2	0.43	28
188	Cape Verde	37	36	14	1	0.38	26
189	Dominica	37	34	21	0	0.57	33
190	Somalia	36	28	12	0	0.33	22
191	Andorra	30	29	11	1	0.37	26
192	Vanuatu	30	27	26	2	0.87	37
193	Cayman Islands	29	25	11	0	0.38	32
194	Falkland Islands (Malvinas)	29	25	12	3	0.41	41
195	American Samoa	29	28	31	1	1.07	27
196	Federated States of Micronesia	25	23	73	12	2.92	39
197	Djibouti	22	21	9	2	0.41	23
198	Antigua and Barbuda	22	22	16	0	0.73	18
199	Equatorial Guinea	21	19	15	1	0.71	25
200	Palau	20	20	4	1	0.2	35
201	Tonga	19	19	17	0	0.89	27
202	Comoros	18	18	9	2	0.5	16
203	Virgin Islands (U.S.)	16	16	19	0	1.19	34
204	Saint Lucia	14	12	4	0	0.29	25
205	Anguilla	13	9	51	9	3.92	21
206	Vatican City State	12	8	14	0	1.17	9
207	Turkmenistan	11	9	4	0	0.36	26
208	Marshall Islands	10	9	1	0	0.1	22
209	Netherlands Antilles	10	8	7	0	0.7	55
210	Aruba	10	6	4	1	0.4	18
211	Saint Helena	10	8	6	1	0.6	8
212	Gibraltar	9	5	2	0	0.22	28
213	Cook Islands	8	6	10	1	1.25	19
214	Turks and Caicos Islands	7	5	1	0	0.14	17
215	Northern Mariana Islands	7	7	1	0	0.14	17
216	Virgin Islands (British)	7	6	1	0	0.14	28
217	Saint Vincent and the Grenadines	6	5	3	0	0.5	20
218	Svalbard and Jan Mayen	6	6	6	0	1	12
219	Tuvalu	5	4	1	0	0.2	9
220	Sao Tome and Principe	5	5	1	1	0.2	21
221	Nauru	4	3	0	0	0	9
222	Kiribati	4	3	0	0	0	12
223	Mayotte	4	4	1	0	0.25	13
224	Montserrat	4	4	5	0	1.25	30
225	British Indian Ocean Territory	3	3	0	0	0	8
226	South Georgia and the South Sandwich Islands	3	3	0	0	0	4
227	French Southern Territories	2	2	1	0	0.5	5
228	United States Minor Outlying Islands	2	2	0	0	0	13
229	Niue	1	1	0	0	0	5
230	Norfolk Island	1	0	0	0	0	10
231	Christmas Island	1	1	0	0	0	4
232	Bouvet Island	1	1	0	0	0	3
233	Tokelau	1	1	1	0	1	2
